leader,interval,horizon,n,mean_atr,median_atr,t_stat,p_value,ci_low_atr,ci_high_atr,mean_bps,ci_low_bps,ci_high_bps,win_rate,mean_atr_BTCUSDT,mean_atr_ETHUSDT,mean_atr_SOLUSDT,signs_agree,n_non_overlap,non_overlap_mean_atr,non_overlap_p,passes
adx,5m,6,8129,-0.021212639224789637,-0.154669839381326,-0.9291237680763643,0.3528525397001579,-0.06255702039622825,0.022959852458643043,-0.32701220002604947,-1.3628624154513853,0.7894245453826351,0.4598351580760241,-0.0730191645390924,-0.03316516758308272,0.04310768484054305,False,7853,-0.0265127753946945,0.25096920588205157,False
adx,5m,12,8129,0.049630670698748734,-0.12957153712759686,1.524987959166183,0.1273010078218906,-0.008610486774547909,0.11315773818422233,0.6268400104388537,-0.8230701478018508,2.1846312225799185,0.4716447287489236,0.00888597485472529,0.05466376274784362,0.08634473922883731,True,7377,0.043082563205714366,0.20694579651908274,False
adx,5m,24,8129,0.03314800062108988,-0.15424164524422165,0.6919370563604118,0.4889966228435567,-0.05176422408388648,0.12447369382132503,0.030877515449516734,-1.9258415646071823,2.162141614890023,0.47484315413950057,0.03093598945709385,0.03355197008111818,0.03501554704292289,True,6277,0.03098144259830036,0.5649708615495546,False
adx,5m,48,8127,0.05353050070576976,-0.1648464867092484,0.7824833827018379,0.4339533483928435,-0.07534214839930822,0.18565855200810016,0.8151699542658789,-2.1494957566597104,3.8385445261927953,0.48431155407899595,-0.07522075646303238,0.21748341972798937,0.027264218010886822,False,4789,-0.0006386368332021253,0.9941079085756227,False
adx,15m,1,2553,0.003008153570701929,-0.055816886525572734,0.1784423933079326,0.8583897220945716,-0.030418486183467368,0.033448481297895336,0.16143833737530291,-1.2818809415118135,1.5112181107077518,0.46337641989815903,-0.003433434798135318,0.033117491552633674,-0.02065959604239257,False,2553,0.003008153570701929,0.8583897220945716,False
adx,15m,3,2553,0.021183848026719708,-0.06131994752151024,0.7037225886474452,0.4816697507485472,-0.03833728487076226,0.07937065332410446,0.8377584458970408,-1.7734718194872732,3.246582465635529,0.47591069330199764,0.05948459508191495,0.03185835863059637,-0.027791409632352212,False,2526,0.021280483479373703,0.4830512145420631,False
adx,15m,6,2553,0.07466638171484828,-0.02107618229274521,1.8040577618996911,0.07134012005026517,-0.011169116118524008,0.15276288959377926,4.124994112155553,0.05094027741493297,7.892853356791734,0.48962005483744614,0.08440801858611306,0.1015283805572154,0.03806274600121643,True,2441,0.08351296822381359,0.04931737718897944,False
adx,15m,12,2553,0.05516820769059532,-0.07012795275592572,0.9551935744100829,0.3395702843605795,-0.058945338501715606,0.1609322359729059,3.3366826808743513,-1.8428061673008762,8.43268085959705,0.4864864864864865,0.054067696836455535,0.1767227840692226,-0.06528585783389225,False,2283,0.09685910703194668,0.11006837017326876,False
adx,15m,24,2553,0.059372106775027134,0.0,0.7012005922956955,0.4832417722613047,-0.11535295022306999,0.21452393773398573,4.419054901619877,-3.0646758780685066,11.231909375178038,0.49980415197806505,0.08183435529411116,0.22546668126542077,-0.1291847162344505,False,1963,0.09412968241151932,0.3227642544089072,False
adx,15m,48,2550,0.027802149855861512,-0.16341242772164954,0.23437796540046804,0.8147103868829138,-0.1884015715720274,0.23013063343782458,2.026344128562052,-7.6497524837702064,11.527647253996195,0.4843137254901961,0.08637992673489626,0.08484716291135995,-0.08782064007867176,False,1488,0.16797157998225068,0.27594320147956747,False
adx,1h,1,618,-0.004947584781612745,-0.02715852455584916,-0.1445074730895492,0.8851469442999339,-0.07745451941132751,0.06553801485478065,-0.060133244561470775,-7.4417412247191335,7.188664751210958,0.47572815533980584,-0.09885026318007613,0.06728713576659286,0.010044827210934366,False,618,-0.004947584781612745,0.8851469442999339,False
adx,1h,3,618,0.018741269524926683,-0.0760907991023282,0.33232620022308246,0.7397558276907663,-0.10671025514376528,0.1401538589438361,1.5407180771690547,-10.275404573656177,13.149532730203834,0.46601941747572817,-0.007496979547316155,0.07838026173525255,-0.01652475198322095,False,617,0.01941505816096762,0.7311583371910082,False
adx,1h,6,617,0.043522039589567574,-0.06222143210881709,0.548204535854869,0.5837500722292357,-0.13681265978337112,0.22439089317092425,6.075767144220506,-11.746041441650517,24.67330347471623,0.47974068071312803,-0.05536732306292238,0.12614771074510328,0.052799651332758046,False,601,0.04779773556906717,0.5468397874209363,False
adx,1h,12,615,0.09484410386955948,-0.15446120298019997,0.8836000450461854,0.3772579915973166,-0.13669573300550852,0.3215945355736424,3.251025801125483,-18.5731401525438,24.21275011512885,0.4715447154471545,0.071493313455405,0.11340077532458862,0.09797030922767379,True,559,0.1076520904257675,0.32108579733177467,False
adx,1h,24,615,0.16612484593473945,0.009172881293747876,1.1089393978071713,0.267890488286613,-0.1760119866366539,0.5142145195420014,6.966931592050822,-24.482820674276905,38.2278182107951,0.5008130081300813,-0.01744803105981903,0.28303311738472253,0.21967710312256045,False,476,0.3065287192533911,0.062449455074831905,False
adx,1h,48,615,0.5085793570048411,0.05716572343223488,2.369149942697037,0.018137421360862365,0.0673527503095456,0.9425261447723541,34.46289938496513,-4.428782772704022,72.81132320595628,0.5056910569105691,0.33677529238763815,0.6206909953640747,0.5560000643615819,True,366,0.5802677665182454,0.03868479356418228,False
