setting_key,family,interval,score,score_percentile,n_neighbours,neighbour_median_score,best_horizon,mean_atr,mean_bps,n_signals,signs_agree,neighbour_percentile,passes_neighbour,passes_signs,passes_all
"squeeze[bb_length=20, kc_length=14, kc_mult=1.0]",squeeze,1h,11.833333333333334,0.12307692307692308,4,21.916666666666668,24,0.49071715871159943,4.954752889026553,76,False,0.15384615384615385,True,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=1.0]",squeeze,5m,50.0,0.8615384615384616,4,24.583333333333332,6,0.062343857272053466,-1.3101430909523597,439,False,0.14615384615384616,True,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=1.5]",squeeze,15m,55.5,0.9230769230769231,5,34.833333333333336,6,-0.004117167761350549,-0.14508666061551787,744,False,0.47692307692307695,False,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=1.5]",squeeze,1h,18.666666666666668,0.18461538461538463,5,37.0,1,0.14825232365233137,7.477387946086822,203,True,0.676923076923077,False,True,False
"squeeze[bb_length=20, kc_length=14, kc_mult=1.5]",squeeze,5m,42.0,0.7538461538461538,5,38.166666666666664,6,0.0005179272302760713,0.28232878560564034,1945,False,0.7076923076923077,False,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=2.0]",squeeze,15m,14.666666666666666,0.15384615384615385,4,20.166666666666668,24,0.25690803378385296,10.635731721223667,484,True,0.2,True,True,True
"squeeze[bb_length=20, kc_length=14, kc_mult=2.0]",squeeze,1h,37.0,0.5846153846153846,4,36.41666666666667,12,0.18755155543412663,9.724335368727443,137,False,0.6384615384615384,False,False,False
"squeeze[bb_length=20, kc_length=14, kc_mult=2.0]",squeeze,5m,48.666666666666664,0.8307692307692308,4,32.333333333333336,6,0.010253203765359905,-0.7270702705743206,1686,False,0.35384615384615387,False,False,False
"squeeze[bb_length=20, kc_length=20, kc_mult=1.0]",squeeze,15m,48.833333333333336,0.8153846153846154,5,43.833333333333336,24,0.014766578135260241,-2.3404464862849834,1705,False,0.8,False,False,False
"squeeze[bb_length=20, kc_length=20, kc_mult=1.0]",squeeze,1h,16.5,0.16153846153846155,5,11.833333333333334,6,0.17834342038498932,21.775934379540523,428,True,0.06923076923076923,True,True,True
"squeeze[bb_length=20, kc_length=20, kc_mult=1.0]",squeeze,5m,30.833333333333332,0.36153846153846153,5,38.166666666666664,1,0.017175142723808958,0.535000878850101,2933,False,0.7076923076923077,False,False,False
"squeeze[bb_length=20, kc_length=20, kc_mult=1.5]",squeeze,15m,34.833333333333336,0.5,6,26.666666666666664,1,0.01005208593033213,0.5625739830742592,5118,False,0.36923076923076925,False,False,False
"squeeze[bb_length=20, kc_length=20, kc_mult=1.5]",squeeze,1h,26.166666666666668,0.3230769230769231,6,21.666666666666668,48,0.38177748855147603,33.39945243061512,1169,True,0.13846153846153847,True,True,True
"squeeze[bb_length=20, kc_length=20, kc_mult=1.5]",squeeze,5m,38.166666666666664,0.6923076923076923,6,36.0,24,0.009609596186134118,-0.30440571410098594,14377,False,0.6615384615384615,False,False,False
"squeeze[bb_length=20, kc_length=20, kc_mult=2.0]",squeeze,15m,18.166666666666668,0.23076923076923078,5,16.0,12,0.08823712808287834,2.900416246190033,4667,True,0.14615384615384616,True,True,True
"squeeze[bb_length=20, kc_length=20, kc_mult=2.0]",squeeze,1h,36.5,0.5692307692307692,5,26.166666666666668,3,0.04856184552115621,5.415438602783175,1143,True,0.35384615384615387,False,True,False
"squeeze[bb_length=20, kc_length=20, kc_mult=2.0]",squeeze,5m,35.0,0.5384615384615384,5,48.666666666666664,6,-0.002185780518049519,-0.04395402832493671,15481,False,0.9,False,False,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.0]",squeeze,15m,46.833333333333336,0.7538461538461538,4,52.41666666666667,48,0.0787863841525582,-6.133204785818399,111,False,0.9846153846153847,False,False,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.0]",squeeze,1h,1.8333333333333333,0.03076923076923077,4,15.166666666666668,1,0.3311912929684311,31.71140914345989,36,False,0.09230769230769231,True,False,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.0]",squeeze,5m,28.0,0.3076923076923077,4,22.5,6,0.12751060045132784,4.517132868845662,197,False,0.1076923076923077,True,False,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.5]",squeeze,15m,10.666666666666666,0.1076923076923077,5,42.333333333333336,1,0.10736878990916672,4.526404862292711,453,True,0.7615384615384615,False,True,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.5]",squeeze,1h,8.666666666666666,0.1076923076923077,5,26.166666666666668,12,0.5206538080149031,50.91908884827239,120,True,0.35384615384615387,False,True,False
"squeeze[bb_length=20, kc_length=30, kc_mult=1.5]",squeeze,5m,13.5,0.12307692307692308,5,35.333333333333336,48,0.4244183697390547,11.679493590341055,1129,True,0.5615384615384615,False,True,False
"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",squeeze,15m,42.333333333333336,0.6923076923076923,4,26.083333333333336,48,0.27371498978273173,5.988023602441782,527,True,0.35384615384615387,False,True,False
"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",squeeze,1h,3.5,0.046153846153846156,4,22.583333333333332,3,0.34571505564933863,32.05583702696281,147,True,0.18461538461538463,True,True,True
"squeeze[bb_length=20, kc_length=30, kc_mult=2.0]",squeeze,5m,54.166666666666664,0.9538461538461539,4,34.83333333333333,48,0.06049148306283768,-0.8270613129057204,1459,False,0.5153846153846153,False,False,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.0]",squeeze,15m,4.0,0.03076923076923077,3,41.0,1,0.20111776989830285,11.326422541854738,27,False,0.7076923076923077,False,False,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.0]",squeeze,1h,36.166666666666664,0.5384615384615384,3,11.833333333333334,6,0.43983141308050444,42.30852022639176,5,False,0.06923076923076923,True,False,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.0]",squeeze,5m,4.0,0.015384615384615385,3,34.333333333333336,1,0.3616574634698055,7.040527822979678,19,True,0.47692307692307695,False,True,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.5]",squeeze,15m,41.0,0.676923076923077,4,24.75,1,0.06744161829443593,3.977514910836872,104,True,0.3076923076923077,False,True,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.5]",squeeze,1h,47.666666666666664,0.8461538461538461,4,30.416666666666664,12,0.41428513668145384,31.9824488195413,35,True,0.5384615384615384,False,True,False
"squeeze[bb_length=30, kc_length=14, kc_mult=1.5]",squeeze,5m,34.333333333333336,0.49230769230769234,4,28.166666666666668,1,0.05560172244702109,0.9869628882356025,241,False,0.26153846153846155,True,False,False
